,Unnamed: 0,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,diameter_nm,abs_nm,emission_nm
0,0,1.102480341,-0.4387818,-0.245226754,-0.525726463,-0.417578052,-0.166760388,-0.124144708,-0.302794283,-0.226628754,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.41,566.0,575
1,1,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.45273826,-0.527397959,-0.302794283,-0.235995363,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.99,440.7843616287095,497
2,2,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.235995363,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.13,461.0243616287095,510
3,3,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.234954629,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.27,500.0361904761905,517
4,4,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.23287316,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.53,500.0361904761905,522
5,5,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.226628754,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.71,544.8,532
6,6,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.205814067,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.91,559.4426666666667,547
7,7,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.174592036,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.02,559.4426666666667,550
8,8,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.143370006,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.02,559.4426666666667,549
9,9,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.112147975,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.02,559.4426666666667,548
