,Unnamed: 0,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,diameter_nm,abs_nm,emission_nm,
0,0,1.102480341,-0.4387818,-0.245226754,-0.525726463,-0.417578052,-0.166760388,-0.124144708,-0.302794283,-0.226628754,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.41,566,575,9
1,1,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.45273826,-0.527397959,-0.302794283,-0.235995363,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.99,440.7843616,497,56.21563837
2,2,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.235995363,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.13,461.0243616,510,48.97563837
3,3,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.234954629,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.27,500.0361905,517,16.96380952
4,4,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.446392598,-0.527397959,-0.302794283,-0.23287316,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.53,500.0361905,522,21.96380952
12,12,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.401972958,-0.527397959,-0.302794283,-0.23287316,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3.43,576.4620635,582,5.537936508
13,13,0.325710098,-0.473265357,-0.588526686,-0.525726463,-0.49946256,-0.401972958,-0.527397959,-0.302794283,-0.226628754,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4.07,581.6003571,593,11.39964286
18,18,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.236682248,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.6,526,556,30
19,19,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.236328398,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.2,559,580,21
20,20,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.235620699,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.6,574,598,24
21,21,0.403387122,-0.373263042,-0.551908026,0.128152379,-0.49946256,-0.265752729,-0.68147074,-0.302794283,-0.234954629,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.9,582,601,19
22,22,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.236099436,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.23,556,562,6
23,23,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.235329293,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.61,570,577,7
24,24,0.481064146,0.378478495,0.693126393,6.062738269,-0.49946256,0.117525307,-0.68147074,-0.302794283,-0.234600779,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3.86,574,588,14
