,Unnamed: 0,Growth Temp (Celsius),Metal_mmol (mmol),Chalcogen_mmol (mmol),CA_mmol (mmol),Amines_mmol (mmol),Phosphines_mmol (mmol),S_I_amount (g),S_II_amount (g),Time_min (min),x0_cadmium acetate,x0_cadmium acetate dihtdrate,x0_cadmium acetate dihydrate,x0_cadmium oxide,x0_cadmium stearate,x0_dimethylcadmium,x1_None,x1_benzoic acid,x1_dodecylphosphonic acid,x1_ethylphosphonic acid,x1_lauric acid,x1_myrstic acid,x1_oleic acid,x1_stearic acid,x2_2-6-dimethylpyridine,x2_None,x2_aniline,x2_benzylamine,x2_dioctylamine/hexadecylamine,x2_dodecylamine,x2_heptylamine,x2_hexadecylamine,x2_octadecylamine,x2_octylamine,x2_oleylamine,x2_pyridine,x2_trioctylamine,x3_None,x3_diphenylphosphine,x3_tributylphosphine,x3_trioctylphosphine,x3_triphenylphosphine,x4_None,x4_liquid parafin,x4_octadecene,x4_phenyl ether,x4_trioctylphosphine oxide,x5_None,x5_phosphinic acid,x5_trioctylphosphine oxide,diameter_nm,abs_nm,emission_nm
0,0,1.1051027856266395,-0.4374862204428412,-0.2437791996464849,-0.525436684979579,-0.4161124063127439,-0.1654549188794992,-0.1233601317110687,-0.3020874190505117,-0.2260769694156932,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.41,566,575
1,1,-0.0625404345869381,-0.4720271700354644,-0.4363605308914434,-0.3055102575219355,-0.4981287381152882,-0.3756709405020196,-0.2411932929559912,-0.3020874190505117,-0.2354625402392459,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.5,474,617
2,19,0.4045168534984929,-0.3718584162168571,-0.5509922756801092,0.1297125673416116,-0.4981287381152882,-0.2646294129514141,-0.6818111328718388,-0.3020874190505117,-0.2361508154329731,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6,526,556
3,20,0.4045168534984929,-0.3718584162168571,-0.5509922756801092,0.1297125673416116,-0.4981287381152882,-0.2646294129514141,-0.6818111328718388,-0.3020874190505117,-0.2357962494240833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2,559,580
4,21,0.4045168534984929,-0.3718584162168571,-0.5509922756801092,0.1297125673416116,-0.4981287381152882,-0.2646294129514141,-0.6818111328718388,-0.3020874190505117,-0.2350871174063037,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6,574,598
5,22,0.4045168534984929,-0.3718584162168571,-0.5509922756801092,0.1297125673416116,-0.4981287381152882,-0.2646294129514141,-0.6818111328718388,-0.3020874190505117,-0.2344196990366289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.9,582,601
6,23,0.4823597348460647,0.381134284902329,0.6962011076205743,6.075828661288531,-0.4981287381152882,0.1193538846090767,-0.6818111328718388,-0.3020874190505117,-0.2355668243595076,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.23,556,562
7,24,0.4823597348460647,0.381134284902329,0.6962011076205743,6.075828661288531,-0.4981287381152882,0.1193538846090767,-0.6818111328718388,-0.3020874190505117,-0.234795121869571,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.61,570,577
8,25,0.4823597348460647,0.381134284902329,0.6962011076205743,6.075828661288531,-0.4981287381152882,0.1193538846090767,-0.6818111328718388,-0.3020874190505117,-0.2340651330277391,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.86,574,588
9,26,0.4823597348460647,0.381134284902329,0.6962011076205743,6.075828661288531,-0.4981287381152882,0.1193538846090767,-0.6818111328718388,-0.3020874190505117,-0.2208627634026084,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.74,605,624
10,27,0.326673972150921,-0.4720271700354644,-0.564748085054749,-0.4154734712507572,-0.4981287381152882,-0.0713662962984518,-0.4612229874133345,-0.3020874190505117,-0.1947917333371844,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.7,578,580
11,28,0.7937312602363521,-0.2820519472760368,-0.3125582465196844,-0.1573492958662598,4.223668649945473,0.7372872707494693,-0.1328537987308017,-0.3020874190505117,-0.2344196990366289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.7,577,600
12,29,0.7937312602363521,-0.2820519472760368,-0.3125582465196844,-0.1573492958662598,4.223668649945473,0.7372872707494693,-0.1328537987308017,-0.3020874190505117,-0.2351288310544085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.9,543,577
13,30,0.7937312602363521,-0.2820519472760368,-0.3125582465196844,-0.1573492958662598,4.223668649945473,0.7372872707494693,-0.1328537987308017,-0.3020874190505117,-0.2358171062481356,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.69,530,547
