,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,in_amount_mmol,p_amount_mmol,ligand_amount_mmol,first_sol_amount_ml,second_sol_amount_ml,third_sol_amount_ml,other_1_amount_mmol,other_2_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium palmitate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_None,x2_dodecanethiol,x2_lauric acid,x2_myristic acid,x2_oleic acid,x2_palmitic acid,x2_stearic acid,x3_4-ethylpyridine,x3_None,x3_dimethylformamide,x3_dodecylamine,x3_mesitylene,x3_octadecene,x3_oleylamine,x3_trioctylamine,x3_trioctylphosphine,x3_trioctylphosphine oxide,x4_None,x4_dioctyl ether,x4_dioctylamine,x4_hexadecylamine,x4_octylamine,x4_oleylamine,x4_toluene,x4_trioctylphosphine,x4_trioctylphosphine oxide,x5_None,x5_trioctylphosphine,x6_None,x6_acetic acid,x6_superhydride,x6_tetrabutylammonium myristate,x6_zinc acetate,x6_zinc bromide,x6_zinc chloride,x6_zinc iodide,x6_zinc octanoate,x6_zinc oleate,x6_zinc stearate,x6_zinc undecylenate,x7_None,x7_copper bromide,x7_oleic acid,x7_water,x7_zinc iodide,diameter_nm,abs_nm,emission_nm,Unnamed: 81
0,0,0,0,0.154575243,-0.011188334,-0.247024588,-0.673378551,-0.370637337,-0.096002403,0.865472202,-0.146248879,-0.660116035,1.573235192,-0.282373108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.43,480.0,539.0,59.0
1,1,1,1,0.195883331,0.280681244,-0.439228154,-0.658075151,-0.370637337,-0.096002403,-0.675365227,-0.146248879,-0.653602539,0.975942201,3.449770807,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.61,610.0,653.0,43.0
2,2,2,2,-0.423737991,-0.412509003,-0.439228154,-0.655198112,-0.370637337,-0.096002403,0.457150283,-0.146248879,-0.651009788,-0.815936773,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.8434999999999997,560.0,595.0,35.0
3,3,3,3,-0.423737991,-0.412509003,-0.439228154,-0.655198112,-0.370637337,-0.096002403,0.457150283,-0.146248879,-0.651009788,-0.218643781,-0.282373108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0559999999999996,590.0,635.0,45.0
4,5,5,5,0.154575243,-0.011188334,-0.247024588,-0.604513249,-0.370637337,-0.096002403,0.865472202,-0.146248879,-0.596878205,-0.815936773,-0.204076383,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.7800000000000002,500.8275862,520.0,19.17241379
5,6,6,6,0.154575243,-0.011188334,-0.247024588,-0.604513249,-0.370637337,-0.096002403,0.865472202,-0.146248879,-0.596878205,-0.815936773,-0.099680749,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.9050000000000002,499.4137931,538.0,38.5862069
6,7,7,7,0.154575243,-0.011188334,-0.247024588,-0.604513249,-0.370637337,-0.096002403,0.865472202,-0.146248879,-0.596878205,-0.417741445,-0.243224746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.9550000000000005,494.137931,540.0,45.86206897
7,8,8,8,0.154575243,-0.011188334,-0.247024588,-0.604513249,-0.370637337,-0.096002403,0.865472202,-0.146248879,-0.596878205,1.175039865,-0.282373108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.624,481.0344828,590.0,108.9655172
8,9,9,9,0.154575243,-0.011188334,-0.247024588,-0.604513249,-0.370637337,-0.096002403,0.865472202,-0.146248879,-0.596878205,1.175039865,-0.204076383,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.8790000000000004,487.6896552,600.0,112.3103448
9,10,10,10,0.154575243,-0.011188334,-0.247024588,-0.604513249,-0.370637337,-0.096002403,0.865472202,-0.146248879,-0.596878205,0.179551546,-0.282373108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.29,469.8275862,560.0,90.17241379
