,in_amount_mmol,p_amount_mmol,ligand_amount_mmol,first_sol_amount_ml,second_sol_amount_ml,third_sol_amount_ml,other_1_amount_mmol,other_2_amount_mmol,total_volume_ml,temp_c,time_min,x0_chloroindium oxalate,x0_indium acetate,x0_indium bromide,x0_indium chloride,x0_indium iodide,x0_indium myristate,x0_indium oxalate,x0_indium palmitate,x0_indium trifluoroacetate,"x0_indium tris(N,N-diisopropylacetamidinato)",x1_bis(trimethylsilyl)phosphine,x1_phosphine gas,x1_phosphorus trichloride,x1_sodium phosphide,x1_tris(diethylamino)phosphine,x1_tris(dimethylamino)phosphine,x1_tris(trimethylgermyl)phosphine,x1_tris(trimethylsilyl)phosphine,x1_white phosphorus,x2_None,x2_dodecanethiol,x2_lauric acid,x2_myristic acid,x2_oleic acid,x2_palmitic acid,x2_stearic acid,x3_4-ethylpyridine,x3_None,x3_dimethylformamide,x3_dodecylamine,x3_mesitylene,x3_octadecene,x3_oleylamine,x3_trioctylamine,x3_trioctylphosphine,x3_trioctylphosphine oxide,x4_None,x4_dioctyl ether,x4_dioctylamine,x4_hexadecylamine,x4_octylamine,x4_oleylamine,x4_toluene,x4_trioctylphosphine,x4_trioctylphosphine oxide,x5_None,x5_trioctylphosphine,x6_None,x6_acetic acid,x6_superhydride,x6_tetrabutylammonium myristate,x6_zinc acetate,x6_zinc bromide,x6_zinc chloride,x6_zinc iodide,x6_zinc octanoate,x6_zinc oleate,x6_zinc stearate,x6_zinc undecylenate,x7_None,x7_copper bromide,x7_oleic acid,x7_water,x7_zinc iodide,diameter_nm,abs_nm,emission_nm
37,-0.341121815,-0.448992701,-0.439228154,-0.466782645,-0.128957999,-0.096002403,-0.675365227,-0.146248879,-0.446751595,-0.855756305,-0.304992163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,445,568
11,-0.299813727,-0.011188334,-0.439228154,-0.589500613,-0.370637337,-0.096002403,0.172095359,-0.146248879,-0.590680897,-0.815936773,-0.305862126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.7,480,None
60,-0.423737991,-0.682488363,-0.439228154,-0.32905204,-0.370637337,-0.096002403,1.019555944,5.383852607,-0.351515422,-0.815936773,-0.295422563,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.75,481,None
168,-0.547662256,-0.667894884,-0.266244944,0.015274471,0.118592093,-0.096002403,-0.675365227,-0.146248879,0.027911561,1.672784024,-0.30673209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.8,472,None
163,-0.423737991,-0.521960095,-0.308529729,-0.053590831,-0.270834533,-0.096002403,-0.444239613,-0.146248879,-0.085663582,-0.218643781,-0.291072745,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.95,595,620
57,-0.299813727,0.667408435,-0.439228154,-0.32905204,-0.370637337,-0.096002403,1.019555944,1.927539178,-0.351515422,-0.417741445,-0.2562742,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,420,None
62,-0.423737991,-0.631411187,-0.093261734,-0.32905204,0.006069324,-0.096002403,-0.675365227,-0.146248879,-0.346646109,-1.413229764,0.78768214,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,523,None
171,-0.175889462,-0.448992701,0.252704686,0.015274471,0.118592093,-0.096002403,0.24913723,10.91395409,0.027911561,0.37864921,-0.2562742,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,430,477
172,-0.175889462,-0.448992701,0.252704686,0.015274471,0.118592093,-0.096002403,0.24913723,-0.146248879,0.027911561,0.37864921,-0.2562742,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,430,477
75,0.071959067,0.280681244,-0.439228154,-0.32905204,-0.370637337,-0.096002403,0.018011616,-0.146248879,-0.351515422,-0.019546118,-0.308037035,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.1,None,None
